"Tract","pop_non_hispanic_black","vehicle_none","family_type_single","family_type_female_householder","over_25_less_than_hs_graduate","below_poverty_line","public_assistance","over_16_unemployed","housing_rental","males_occ_professional","males_occ_management","fem_occ_professional","fem_occ_management","num_occupants_crowded","phone_service"
"37181960400",1340,190,340,289,276,0,49,165,1315,48,0,0,0,91261,3653763
"37181960500",3394,489,586,510,969,0,94,316,2819,0,0,0,0,91261,3653763
"37181960600",808,75,205,139,336,46,0,65,803,0,0,5,0,91261,3653763
"37181960700",3521,465,631,484,805,67,147,377,3048,0,0,0,0,91261,3653763
"37181960800",1122,102,243,213,441,194,18,107,1108,0,0,16,0,91261,3653763
"37181960900",2642,292,750,600,1390,271,50,372,2771,23,0,12,0,91261,3653763
"37181961000",2494,142,447,404,818,265,100,276,1350,0,0,2,16,91261,3653763
"37097060100",948,196,502,372,524,59,49,535,2717,0,0,89,0,91261,3653763
"37097060200",1501,124,335,279,533,491,74,166,1687,0,0,0,0,91261,3653763
"37097060300",1000,158,288,222,568,40,29,305,1215,0,0,27,0,91261,3653763
"37097060400",1918,283,562,498,814,37,82,366,2089,6,0,7,0,91261,3653763
"37097060500",1358,141,399,332,583,183,34,249,1902,5,0,0,0,91261,3653763
"37097060601",2294,108,575,498,487,0,41,368,3101,0,0,14,0,91261,3653763
"37097060602",71,7,22,11,51,0,8,54,89,0,0,7,0,91261,3653763
"37097060603",216,106,63,35,234,0,15,87,345,5,0,6,0,91261,3653763
"37097060701",356,44,159,142,330,0,36,91,596,0,0,0,0,91261,3653763
"37097060702",520,55,217,155,404,0,53,358,529,45,0,0,0,91261,3653763
"37097060703",146,22,163,92,181,0,0,177,504,0,0,41,0,91261,3653763
"37097060801",242,68,193,83,713,35,17,174,1036,9,0,20,0,91261,3653763
"37097060802",264,54,162,128,448,11,11,260,556,9,0,0,0,91261,3653763
"37097060901",55,11,166,153,354,0,50,76,335,31,0,26,0,91261,3653763
"37097060902",123,24,174,81,628,10,50,310,1119,0,0,0,0,91261,3653763
"37097061001",136,28,214,174,310,0,0,86,674,0,0,37,0,91261,3653763
"37097061002",242,25,258,217,453,16,16,258,1125,0,0,13,0,91261,3653763
"37097061003",944,47,235,146,286,130,13,198,1258,12,0,24,0,91261,3653763
"37097061101",273,121,128,80,290,0,8,71,382,0,0,16,0,91261,3653763
"37097061102",390,76,289,283,415,0,25,224,950,12,0,7,0,91261,3653763
"37097061103",221,13,345,231,432,0,0,129,559,12,0,0,0,91261,3653763
"37097061104",139,12,110,92,236,37,50,96,366,0,0,19,0,91261,3653763
"37097061201",230,14,214,196,215,0,18,173,757,13,0,13,0,91261,3653763
"37097061202",436,27,286,265,308,84,32,344,1051,9,18,0,0,91261,3653763
"37097061203",332,21,177,144,244,0,25,250,976,65,0,28,0,91261,3653763
"37097061204",0,12,39,26,29,0,0,67,230,38,0,49,0,91261,3653763
"37097061205",0,52,269,212,230,0,57,170,642,32,0,23,0,91261,3653763
"37097061301",262,36,137,62,367,0,44,290,801,0,0,0,0,91261,3653763
"37097061302",789,58,270,160,383,0,55,54,854,8,81,0,82,91261,3653763
"37097061303",155,46,410,269,247,0,0,118,846,93,0,61,0,91261,3653763
