"","Tract","pop_non_hispanic_black","vehicle_none","family_type_single","family_type_female_householder","over_25_less_than_hs_graduate","below_poverty_line","public_assistance","over_16_unemployed","housing_rental","males_occ_professional","fem_occ_professional","num_occupants_crowded","phone_service","Cluster"
"366",37063000402,0.242298194117906,0.233661509773059,0.202218182438054,0.121942152169938,0.165238476954406,0.559016994374947,0.0928476690885259,0.232239225342236,0.82217195015051,0.503762280292319,0.393562325874601,0,0.982607368881035,4
"367",37063000500,0.71941314039985,0.595930432053867,0.767988167384575,0.748785424304243,0.475051672391509,0,0.14329103039491,0.256907638888797,0.883909821350673,0.310316445417088,0.356151172702139,0.123325283195642,0.98274079373994,2
"368",37063000600,0.583625168140472,0.246742924820926,0.666398444299477,0.597662381116707,0.416677075396678,0.700140042014005,0.222208905534736,0.221643661792006,0.78607828817778,0.323592400845287,0.255317919356479,0.227538413517539,0.991091672722162,1
"369",37063000700,0.592929063125186,0.46837484987988,0.581546461146613,0.483137403502492,0.384862471874114,0,0.1,0.221698076119111,0.698360535111066,0.481484280100901,0.365568807470484,0.0707106781186548,1,3
"370",37063000900,0.829789383017201,0.589714632481973,0.747878355013905,0.678566118665772,0.541848687365763,0.770704199032297,0.186096842079694,0.303341784394559,0.894603427024942,0,0.303239217431561,0.260424783423291,0.963998407308295,2
"371",37063001001,0.829182920569759,0.56025977967494,0.789469248329632,0.710228680610029,0.54194423962068,0.596978206238221,0.290552177620792,0.307832215181829,0.845394548792433,0,0,0.095966225831715,0.973556747103711,2
"372",37063001002,0.72791483261726,0.525026651775533,0.889202453653963,0.76434899795905,0.562613097282825,0.689487251627663,0.197937122535445,0.320336062637587,0.873996071095394,0,0,0.280757238313942,0.990156779384555,2
"373",37063001100,0.81103592877198,0.681277109249826,0.82723033001915,0.775328456527261,0.625485383109715,0.544589704978033,0.194737018008948,0.377703477830439,0.876204865194448,0.125,0.14455283597377,0.200986848097075,0.982115421293221,2
"374",37063001301,0.896174020425166,0.591696562270675,0.757149828018845,0.685439702823594,0.470210873859755,0,0.188784037984951,0.342031251244527,0.867093911783408,0.221108319357027,0,0.199580272360031,0.975593137865317,2
"375",37063001303,0.868774074412083,0.442141065503433,0.866655469639908,0.825362167429293,0.380279471402954,0,0.232670020298844,0.175834792905543,0.748574955961314,0.309773459094862,0,0.122627867896993,0.985610760609162,2
"376",37063001304,0.941692863489074,0.534777200295739,0.824236058035002,0.731382687052842,0.448843784121076,0.754298029456116,0.144818350437543,0.260377821961648,0.82820078632776,0.0954910521118846,0,0.200095306176484,0.964083308307681,2
"377",37063001400,0.941135747044259,0.691832695550361,0.877934639235308,0.855749783702977,0.582866097956393,0,0.242650761821853,0.323313658935686,0.929596404093571,0,0,0.123266710272273,0.927064826634322,2
"378",37063001501,0.417668737694329,0.304997140665209,0.932504808240314,0,0.358568582800319,1,0,0.127066975040787,0.939742987798729,0,NA,0,1,4
"379",37063001502,0.596130774936545,0.490772805434601,0.81271122636845,0.656568603555514,0.531679871951659,0.419998841384104,0.148835139446897,0.292174354895389,0.975536320444239,0.0867576032427712,0.382841635661913,0.277496341253867,0.966382906118322,3
"380",37063001503,0.489282455672152,NA,NA,NA,0,NA,NA,0.113290870896871,NA,0,NA,NA,NA,4
"381",37063001601,0.58554004376912,0.164837775418439,0.501453069032761,0.452003688159101,0.348742916231458,0,0,0.268627778311844,0.438488010945821,0.280023720661021,0.316983388996209,0,0.990826520519066,1
"382",37063001603,0.458663599152417,0.135003712653148,0.469220702044242,0.36744252013375,0.282891074056998,NA,0,0.162872131409,0.247998824304657,0.287423235740858,0.280336606012146,0.0348578087187875,0.991866477380394,1
"383",37063001604,0.381856026968409,0.140591730522843,0.378156772422843,0.334603179201584,0.18440380961064,0,0.0963220361655057,0.215811980181433,0.250637435842506,0.402450914986222,0.228263462728562,0,0.998183101355753,1
"384",37063001705,0.530750462775452,0.206030616255628,0.487187017967628,0.444878260501305,0.341722128170749,0,0.0634148856435113,0.243104712188044,0.673772657945241,0.368977747720988,0.438070776498424,0.147968066501527,0.993274974144992,1
